"employee_id","employee_name","gender","designation","email_id","mobile","department","organization",""
"22154876","Merle A. McNish","Male","Senior","MadelineHNewman@rhyta.com","617-767-8474","PHP1","OXO",""
"23478124","Clifton A. Carter","Female","Junior","KimberlyWReitz@rhyta.com","617-767-8475",".NET","Darlic",""
"24801372","Rolando A. Goto","Male","Fresher","JackAJones@armyspy.com","617-767-8476","Designer","OXO",""
"26124620","Yolanda J. Whitney","Male","Junior","TheresaMBirch@jourrapide.com","617-767-8477","Testing","Darlic",""
"27447868","Nancy R. Peterson","Female","Senior","MartaABrubaker@jourrapide.com","617-767-8478","PHP","OXO",""
"28771116","John J. Starks","Male","Senior","AaronMCaro@rhyta.com","617-767-8479",".NET","Darlic",""
"30094364","Jan J. Sullins","Female","Fresher","FrancesSManning@jourrapide.com","617-767-8480","Designer","OXO",""
"31417612","David M. Moya","Male","Fresher","JeromeJFrances@rhyta.com","617-767-8481","Testing","Darlic",""
"32740860","Scott E. Nelson","Male","Senior","KassandraGBinion@teleworm.us","617-767-8482","PHP","OXO",""
"34064108","Juanita D. Berg","Female","Senior","SarahRAllen@teleworm.us","617-767-8483",".NET","Darlic",""
"35387356","Gustavo B. Carroll","Male","Junior","JoshuaBVasquez@jourrapide.com","617-767-8484","Designer","OXO",""
"36710604","Michelle D. Hill","Male","Junior","VictoriaLSpears@dayrep.com","617-767-8485","Testing","Darlic",""
"38033852","Joseph A. Anthony","Male","Junior","CherylJThomas@dayrep.com","617-767-8486","PHP","OXO",""
"39357100","Carlos E. Hayes","Female","Senior","MaryMGaskell@dayrep.com","617-767-8487",".NET","Darlic",""
"40680348","William J. Smith","Male","Fresher","JamesSBryant@dayrep.com","617-767-8488","Designer","OXO",""
"42003596","Beatrice J. Cole","Female","Fresher","JamesSMcNees@teleworm.us","617-767-8489","Testing","Darlic",""
"43326844","Maurice F. Comerford","Female","Senior","ErnestJLand@armyspy.com","617-767-8490","PHP","OXO",""
"44650092","Debra H. Figueroa","Male","Senior","JakeJMorris@jourrapide.com","617-767-8491",".NET","Darlic",""
"45973340","Louis G. Neville","Female","Fresher","LouisGNeville@rhyta.com","617-767-8492","Designer","OXO",""
"22154876","Merle A. McNish","Male","Senior","MadelineHNewman@rhyta.com","617-767-8474","PHP","OXO","2"
